"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"367","42101037200",35,38,41,42,38,39,43,39.4285714285714
"368","42101005500",63,68,71,69,68,60,63,66
"369","42101006500",47,47,47,48,47,47,48,47.2857142857143
"370","42101007101",34,34,34,34,35,34,34,34.1428571428571
"371","42101007102",48,50,50,49,49,48,48,48.8571428571429
"372","42101008000",34,34,32,32,35,36,34,33.8571428571429
"373","42101008102",45,46,48,49,48,48,47,47.2857142857143
"374","42101017601",47,48,49,51,51,48,49,49
"375","42101008400",35,35,35,36,34,34,32,34.4285714285714
"376","42101009100",29,29,29,29,30,30,31,29.5714285714286
"377","42101009300",35,33,33,31,31,34,35,33.1428571428571
"378","42101010000",48,53,58,63,43,43,48,50.8571428571429
"379","42101010100",52,53,49,51,52,51,52,51.4285714285714
"380","42101014400",36,36,33,34,36,36,36,35.2857142857143
"381","42101015101",52,50,47,47,50,52,43,48.7142857142857
"382","42101015300",42,43,39,36,33,34,35,37.4285714285714
"383","42101015800",50,54,51,51,55,57,45,51.8571428571429
"384","42101016701",45,47,49,45,48,49,42,46.4285714285714
"385","42101017201",54,50,51,50,48,49,47,49.8571428571429
"386","42101017900",54,54,53,52,55,58,53,54.1428571428571
"387","42101018002",51,55,57,55,57,60,62,56.7142857142857
"388","42101037900",75,58,60,65,68,63,63,64.5714285714286
"389","42101019000",67,58,59,64,68,61,59,62.2857142857143
"390","42101019100",67,57,59,64,66,62,62,62.4285714285714
"391","42101019800",37,40,43,33,34,39,41,38.1428571428571
"392","42101020200",43,41,40,41,38,39,41,40.4285714285714
"393","42101020500",60,60,62,61,60,59,61,60.4285714285714
"394","42101021000",49,50,47,50,51,52,53,50.2857142857143
"395","42101021600",80,85,90,95,100,105,110,95
"396","42101021800",63,64,60,63,60,61,64,62.1428571428571
"397","42101038500",82,80,72,75,77,74,74,76.2857142857143
"398","42101023600",70,73,55,57,62,65,49,61.5714285714286
"399","42101026301",73,75,77,67,70,72,73,72.4285714285714
"400","42101024500",62,62,61,61,58,58,60,60.2857142857143
"401","42101024600",56,55,56,53,54,56,58,55.4285714285714
"402","42101038900",55,55,60,65,63,62,65,60.7142857142857
"403","42101026000",70,71,61,65,66,67,71,67.2857142857143
"404","42101026100",79,77,74,72,72,74,76,74.8571428571429
"405","42101026500",68,58,60,62,64,67,63,63.1428571428571
"406","42101027300",50,55,60,64,67,57,59,58.8571428571429
"407","42101027401",50,54,44,44,49,52,44,48.1428571428571
"408","42101027901",52,52,54,54,51,54,58,53.5714285714286
"409","42101027902",50,51,48,49,51,53,50,50.2857142857143
"410","42101028700",48,50,50,50,42,43,44,46.7142857142857
"411","42101029100",83,70,70,75,74,74,78,74.8571428571429
"412","42101029200",75,74,70,71,74,75,73,73.1428571428571
"413","42101030000",58,60,63,65,57,60,62,60.7142857142857
"414","42101010300",38,38,36,36,34,35,38,36.4285714285714
"415","42101037500",76,75,74,77,73,73,76,74.8571428571429
"416","42101036000",99,97,99,102,93,93,94,96.7142857142857
"417","42101002000",43,45,41,42,44,46,48,44.1428571428571
"418","42101014100",40,43,42,38,39,40,40,40.2857142857143
"419","42101017400",46,44,42,42,43,42,42,43
"420","42101024000",50,53,54,53,55,54,47,52.2857142857143
"421","42101002702",33,36,38,34,34,36,32,34.7142857142857
"422","42101038000",67,68,63,65,67,70,68,66.8571428571429
"423","42045980000",105,63,66,71,76,81,82,77.7142857142857
"424","42101016001",50,52,47,50,55,59,48,51.5714285714286
"425","42101004104",34,36,38,34,34,39,35,35.7142857142857
"426","42101001204",26,24,24,26,25,26,26,25.2857142857143
"427","42101036902",26,27,26,25,26,27,28,26.4285714285714
"428","42101020701",70,72,62,65,70,72,61,67.4285714285714
"429","42101000403",14,14,13,14,14,14,14,13.8571428571429
"430","42101000806",16,16,17,17,16,16,16,16.2857142857143
"431","42101980003",36,36,36,36,36,36,36,36
