"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"274","42101033800",84,83,90,87,87,95,90,88
"275","42101035200",100,98,94,93,99,95,94,96.1428571428571
"276","42101036100",102,100,114,113,108,103,101,105.857142857143
"277","42101036400",103,99,94,89,88,98,105,96.5714285714286
"278","42101001600",37,39,37,43,40,39,38,39
"279","42101980500",48,46,48,50,48,44,44,46.8571428571429
"280","42101980100",81,76,71,66,61,58,80,70.4285714285714
"281","42101980600",36,36,37,35,36,37,36,36.1428571428571
"282","42101023100",77,76,91,87,86,85,81,83.2857142857143
"283","42101011700",53,50,56,54,51,57,55,53.7142857142857
"284","42101025800",69,69,89,87,82,82,89,81
"285","42101001102",34,32,31,29,28,34,32,31.4285714285714
"286","42101038100",98,112,110,105,102,108,106,105.857142857143
"287","42091206201",178,176,174,NA,NA,NA,NA,NA
"288","42045402300",49,50,50,51,50,50,53,50.4285714285714
"289","42091205811",125,120,115,114,119,115,114,117.428571428571
"290","42101989300",61,57,56,54,50,51,70,57
"291","42101980002",65,60,57,75,73,68,63,65.8571428571429
"292","42101012501",31,34,35,32,35,35,31,33.2857142857143
"293","42017100213",125,178,173,168,163,158,153,159.714285714286
"294","42045410306",165,160,155,150,145,140,135,150
"295","42017100103",119,115,110,105,100,95,94,105.428571428571
"296","42017104701",138,133,128,123,123,167,162,139.142857142857
"297","42017101603",156,151,146,141,136,131,127,141.142857142857
"298","42017100811",176,171,166,161,156,151,149,161.428571428571
"299","42091202100",70,93,92,87,83,91,90,86.5714285714286
"300","42091203303",123,133,130,125,120,115,111,122.428571428571
"301","42091200903",130,172,171,166,166,167,162,162
"302","42091200502",102,97,94,120,118,113,108,107.428571428571
"303","42091202603",82,79,74,72,89,86,81,80.4285714285714
"304","42091206300",151,173,171,166,161,156,151,161.285714285714
"305","42091202201",65,63,62,68,67,74,72,67.2857142857143
"306","42091205300",93,88,88,107,105,100,95,96.5714285714286
"307","42045406902",165,160,155,150,145,140,137,150.285714285714
"308","42045407805",107,104,99,97,103,100,95,100.714285714286
"309","42045401401",77,72,71,85,81,76,71,76.1428571428571
