"","from_id","travel_time7","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time1","average"
"98","42101029800",68,72,70,69,73,70,68,70
"99","42091203204",120,115,115,135,130,125,120,122.857142857143
"100","42091202401",88,83,82,89,94,91,86,87.5714285714286
"101","42101000803",22,22,27,23,22,24,22,23.1428571428571
"102","42101980800",88,85,80,75,70,68,82,78.2857142857143
"103","42101010600",37,36,36,37,37,37,37,36.7142857142857
"104","42101014500",31,28,32,31,27,29,30,29.7142857142857
"105","42101028500",53,51,49,45,44,53,52,49.5714285714286
"106","42101013601",38,37,37,36,44,42,37,38.7142857142857
"107","42045400900",72,69,71,69,65,73,72,70.1428571428571
"108","42101016002",44,47,57,56,51,49,51,50.7142857142857
"109","42101036901",38,36,33,34,37,37,33,35.4285714285714
"110","42101013702",34,38,38,36,44,42,37,38.4285714285714
"111","42101000101",24,23,22,23,23,24,24,23.2857142857143
"112","42101000404",14,14,14,14,14,14,14,14
"113","42101000805",23,29,28,28,26,22,24,25.7142857142857
"114","42091201706",88,83,79,97,96,91,86,88.5714285714286
"115","42091206202",174,169,164,159,154,149,147,159.428571428571
"116","42017100803",179,174,172,NA,NA,NA,NA,NA
"117","42017101605",144,139,134,129,124,121,167,136.857142857143
"118","42029300303",116,148,146,141,136,135,150,138.857142857143
"119","42091205401",81,108,129,128,123,118,113,114.285714285714
"120","42045401503",84,79,74,71,91,89,87,82.1428571428571
"121","42101014800",37,34,32,34,33,31,35,33.7142857142857
"122","42101011300",42,40,42,40,42,41,40,41
"123","42101013401",36,32,31,30,29,31,36,32.1428571428571
"124","42101016702",42,42,40,38,38,40,39,39.8571428571429
"125","42101021200",69,66,64,59,54,52,69,61.8571428571429
"126","42101025900",74,70,74,73,69,73,72,72.1428571428571
"127","42101028800",53,48,47,55,56,54,51,52
"128","42101031800",68,66,64,66,67,68,68,66.7142857142857
"129","42045403101",84,79,74,69,68,88,84,78
"130","42045405400",123,118,117,136,149,147,142,133.142857142857
"131","42045407700",144,139,134,129,124,119,114,129
"132","42101003100",34,31,33,38,33,33,38,34.2857142857143
"133","42101007200",53,53,53,53,53,53,53,53
"134","42101025600",88,88,92,87,87,91,86,88.4285714285714
"135","42101027000",70,69,64,63,67,64,68,66.4285714285714
"136","42101027700",61,59,59,57,58,56,53,57.5714285714286
